# Toolbag 5 Chinese dictionary
# Format: English;Chinese
Check for Updates;检查更新
Beta Updates;测试版更新
Remember Window Position;记住窗口位置
Tablet-Friendly Input;平板友好输入
Prompt for Unsaved Changes;未保存更改时提示
Display Tooltips;显示提示
Empty;空
Last Opened;最近打开
Template;模板
Startup Scene;启动场景
New Scenes;新建场景
Offline;离线
Interactive;交互
Default Baker;默认烘焙器
Windows Pointer;Windows 指针
WinTab;WinTab
Tablet Backend;平板后端
Tablet backend change requires restart.;平板后端更改需要重启。
Always Ask;始终询问
Always Send;始终发送
Never Send;从不发送
Crash Reporting;崩溃报告
Browse for Missing Files;浏览缺失文件
Browse for Missing Meshes;浏览缺失网格
Auto-Reload Textures;自动重新加载纹理
Auto-Reload Model References;自动重新加载模型引用
Import Models As References;将模型作为引用导入
Import Materials With Models;随模型导入材质
8ML;8ML
ABC;ABC
FBX;FBX
OBJ;OBJ
PLY;PLY
STL;STL
USD;USD
Retain;保留
Replace;替换
Create Unique;创建唯一
Existing Materials;现有材质
Marmoset;Marmoset
Mikk;Mikk
Maya;Maya
3DS Max;3DS Max
Default Tangent Space;默认切线空间
Right-Handed;右手
Left-Handed;左手
Default Tangent Orientation;默认切线方向
Millimeters (mm);毫米 (mm)
Centimeters (cm);厘米 (cm)
Meters (m);米 (m)
Kilometers (km);千米 (km)
Inches (in);英寸 (in)
Feet (ft);英尺 (ft)
Yards (yd);码 (yd)
Miles (mi);英里 (mi)
Default Units;默认单位
Automatic Updates;自动更新
Downloads;下载
...;...
User Files;用户文件
GPU Timeout (secs):;GPU 超时（秒）：
Apply;应用
Revert;还原
Auto;自动
Generic;通用
Accelerated / RTX;加速 / RTX
Ray Tracing;光线追踪
Ray Tracing VRAM Budget (%);光线追踪显存预算 (%)
Show Watermark by Default;默认显示水印
Autosave Scenes;自动保存场景
Save Relative to Scene;相对于场景保存
Timer (mins);定时器（分钟）
Max Saves;最大保存数
Max Autosave Folder Size;最大自动保存文件夹大小
MB;MB
GB;GB
Usage;使用量
Clear;清除
Open Folder;打开文件夹
Normal Map:;法线贴图：
Roughness Map:;粗糙度贴图：
Albedo Map:;反照率贴图：
Metalness Map:;金属度贴图：
v5.03 (5032);v5.03 (5032)
None;无
No Selection;未选择
- / +;- / +
__;__
File;文件
Edit;编辑
View;视图
Scene;场景
Texture;纹理
Material;材质
Render;渲染
Window;窗口
Help;帮助
Frames;帧
FPS;FPS
Length;长度
Speed;速度
Bake Speed;烘焙速度
Show Only Errors;仅显示错误
Size:;大小：
x;x
Clear...;清除...
UV Paint;UV 绘制
3D Paint;3D 绘制
Viewport Brush;视口笔刷
Size;大小
Flow;流量
Sharpness;锐度
Cancel;取消
Red;红
Green;绿
Blue;蓝
Alpha;Alpha
Reset View;重置视图
texture;纹理
UDIM:;UDIM：
1001;1001
sRGB Color Space;sRGB 色彩空间
Use Filtering;使用过滤
Use Mipmaps;使用 Mipmap
1x;1x
2x;2x
4x;4x
8x;8x
16x;16x
Anisotropic Filtering;各向异性过滤
Clamp;钳制
Repeat;重复
Mirror;镜像
Wrapping;环绕
Frame:;帧：
VP Quality:;视口质量：
Interval:;间隔：
Draw:;绘制：
GPU:;GPU：
Reset;重置
Tare:;归零：
Mesh VRAM RT: 0.00MB;网格显存 RT: 0.00MB
RGB;RGB
Channel;通道
Shift Left;左移
Shift timeline selection left;向左移动时间轴选区
Shift Right;右移
Shift timeline selection right;向右移动时间轴选区
Zoom In;放大
Zoom in;放大
Zoom in (alternative);放大（备用）
Zoom Out;缩小
Zoom out;缩小
Zoom out (alternative);缩小（备用）
Next Frame;下一帧
Go to the next frame;转到下一帧
Nudge Keyframe Down;向下微调关键帧
Nudge keyframe selection down;向下微调关键帧选区
Nudge Keyframe Up;向上微调关键帧
Nudge keyframe selection up;向上微调关键帧选区
Play/Pause;播放/暂停
Play/Pause the animation;播放/暂停动画
Previous Frame;上一帧
Go to the previous frame;转到上一帧
Set Frame to Next Keyframe;将帧设为下一关键帧
Set frame to next keyframe;将帧设为下一关键帧
Set Frame to Previous Keyframe;将帧设为上一关键帧
Set frame to previous keyframe;将帧设为上一关键帧
Skew Tool;倾斜工具
Show Offset;显示偏移
Show offset;显示偏移
Show Skew;显示倾斜
Show skew;显示倾斜
Toggle High Visibility;切换高模可见性
Toggle the visibility of high poly objects;切换高模对象可见性
Toggle Low Visibility;切换低模可见性
Toggle the visibility of low poly objects;切换低模对象可见性
Run Again;再次运行
Run last plugin;运行上一个插件
Clear Template Material;清除模板材质
Clear template material;清除模板材质
Clear Template Scene;清除模板场景
Clear template scene;清除模板场景
Set Template Material;设置模板材质
Set template material;设置模板材质
Set Template Scene;设置模板场景
Set template scene;设置模板场景
Hotkeys;快捷键
Open the hotkeys window;打开快捷键窗口
Preferences;偏好设置
Open the preferences window;打开偏好设置窗口
Redo;重做
Redo the last action;重做上一个操作
Redo Camera;重做相机
Redo the last camera action;重做上一个相机操作
Undo;撤销
Undo the last action;撤销上一个操作
Undo Camera;撤销相机
Undo the last camera action;撤销上一个相机操作
Export;导出
Export a file;导出文件
Export Selected;导出所选
Export selected objects;导出所选对象
Import;导入
Import a file;导入文件
New Scene;新建场景
Create a new scene file;新建场景文件
Open Scene;打开场景
Open a scene file;打开场景文件
Open Scene Folder;打开场景文件夹
Open the folder containing the current scene file;打开当前场景文件所在文件夹
Quit;退出
Quit Toolbag;退出 Toolbag
Revert the current scene file to the last saved state;将当前场景还原到上次保存状态
Save Backup;保存备份
Save a backup of the current scene file;保存当前场景的备份
Save Scene;保存场景
Save the current scene file;保存当前场景文件
Save Scene As;场景另存为
Save the current scene file as a new file;将当前场景另存为新文件
Save Scene to Library;保存场景到库
Save the current scene file to the Library;将当前场景保存到库
Save Selected to Library;将所选保存到库
Save selected objects to the Library;将所选对象保存到库
Reload Shaders;重新加载着色器
Reload shaders;重新加载着色器
Toggle Console;切换控制台
Toggle Console window;切换控制台窗口
Toggle Performance Window;切换性能窗口
Toggle Performance window;切换性能窗口
About;关于
Change Account;切换账户
Change account;切换账户
Documentation;文档
Go to the documentation page;转到文档页面
Python API Reference;Python API 参考
Go to the Python API Reference page;转到 Python API 参考页面
Send Feedback;发送反馈
Send feedback;发送反馈
Tutorials;教程
Go to the tutorials page;转到教程页面
Apply to Selection;应用到所选
Apply the current material to the selected objects;将当前材质应用到所选对象
Clear Unused;清除未使用
Clear unused materials;清除未使用材质
Export material;导出材质
Import material;导入材质
New Material;新建材质
Create a new material;新建材质
Enable Hybrid;启用混合渲染
Enable hybrid render mode;启用混合渲染模式
Enable Raytracing;启用光线追踪
Enable raytracing render mode;启用光线追踪渲染模式
Bake All;全部烘焙
Bake all;全部烘焙
Open When Done;完成后打开
Toggle open when done;切换完成后打开
Render All Images;渲染所有图像
Render all images;渲染所有图像
Render All Videos;渲染所有视频
Render all videos;渲染所有视频
Render Options;渲染选项
Open render options;打开渲染选项
Render Viewport;渲染视口
Render current viewport to file;将当前视口渲染到文件
Render Viewport to Clipboard;将视口渲染到剪贴板
Render current viewport to clipboard;将当前视口渲染到剪贴板
Directional Light;平行光
Add a new directional light to the scene;在场景中添加新的平行光
Omni Light;点光源
Add a new omni light to the scene;在场景中添加新的点光源
Spot Light;聚光灯
Add a new spot light to the scene;在场景中添加新的聚光灯
Backdrop;背景板
Add a new backdrop to the scene;在场景中添加新的背景板
Bake Project;烘焙工程
Add a new bake project to the scene;在场景中添加新的烘焙工程
Camera;相机
Add a new camera to the scene;在场景中添加新的相机
Fog;雾
Add a new fog to the scene;在场景中添加新的雾
Shadow Catcher;阴影捕捉器
Add a new shadow catcher to the scene;在场景中添加新的阴影捕捉器
Sky;天空
Add a new sky to the scene;在场景中添加新的天空
Texture Project;纹理工程
Add a new texture project to the scene;在场景中添加新的纹理工程
Turntable;转盘
Add a new turntable to the scene;在场景中添加新的转盘
Lock Selection;锁定选择
Lock selected objects;锁定所选对象
Blur;模糊
Add blur;添加模糊
Curves;曲线
Add curves;添加曲线
Gradient Map;渐变映射
Add gradient map;添加渐变映射
Hue/Saturation;色相/饱和度
Add hue/saturation;添加色相/饱和度
Invert;反相
Add invert;添加反相
Levels;色阶
Add levels;添加色阶
Recolor;重新着色
Add recolor;添加重新着色
Sharpen;锐化
Add sharpen;添加锐化
Cellular;细胞状
Add cellular;添加细胞状
Checkered;棋盘格
Add checkered;添加棋盘格
Clouds;云彩
Add clouds;添加云彩
Gradient;渐变
Add gradient;添加渐变
Perlin;Perlin 噪声
Add perlin;添加 Perlin 噪声
Scatter;散射
Add scatter;添加散射
