SEAMLESS	ASSIGN:0x1B530E
App	ASSIGN:0xC9BC09
Content	ASSIGN:0xC9BC09
Autosave	ASSIGN:0xC9BC09
Error: Cannot save to reserved path.	ASSIGN:0xBBCCA7
GPU	ASSIGN:0xC9BC09
NONE	ASSIGN:0x6E1F4
Visible	ASSIGN:0xA50EA3
SetCameraTarget	ASSIGN:0xBCB612
Set Camera Target	ASSIGN:0xBCB647
tbexport	ASSIGN:0xAA40E6
Translation X	ASSIGN:0x75777
Translation Y	ASSIGN:0x75777
Translation Z	ASSIGN:0x75777
Rotation X	ASSIGN:0x75777
Rotation Y	ASSIGN:0x75777
Rotation Z	ASSIGN:0x75777
Scale X	ASSIGN:0x75777
Scale Y	ASSIGN:0x75777
Scale Z	ASSIGN:0x75777
Focus Distance	ASSIGN:0x75777
Anamorphic Ratio	ASSIGN:0x75777
Rotation Degrees	ASSIGN:0x75777
Strength	ASSIGN:0x75777
Coating Color	ASSIGN:0x75777
Mode	ASSIGN:0x759F6
Intensity	ASSIGN:0x75777,CTOR:0x40A3EC
Dirt Intensity	ASSIGN:0x75777
Dirt Density	ASSIGN:0x75777
Dirt Size	ASSIGN:0x75777
Field Of View	ASSIGN:0x75777
Sharpen Limit	ASSIGN:0x75777
Bloom Size	ASSIGN:0x75777
Vignette Curve	ASSIGN:0x75777
Barrel	ASSIGN:0x75777
Light Brightness	ASSIGN:0xBD8E32
Background Brightness	ASSIGN:0xBD8FA0
Sun Brightness	ASSIGN:0x75777
Sun Scale	ASSIGN:0x75777
Saturation	ASSIGN:0x75777
Blur Size	ASSIGN:0x75777
SRSurfaceNormalMap	ASSIGN:0xCEE9AD
Normal Map	ASSIGN:0x12613B
none	ASSIGN:0xC0CBCC
Scale & Bias	ASSIGN:0x4C9346,CTOR:0x4C93DE
Flip X	ASSIGN:0x4C9346,CTOR:0x4C93DE
detail	CTOR:0x4C93DE
Object Space	ASSIGN:0x4C9346,CTOR:0x4C93DE
SRMicrosurfaceRoughnessMap	ASSIGN:0xCEF6DD
Roughness Map	ASSIGN:0x12613B
SRAlbedoMap	ASSIGN:0xCEEBDD
Albedo Map	ASSIGN:0x12613B
Color	ASSIGN:0xCD2BA0
SRDiffusionLambertian	ASSIGN:0xCEEE9D
SRReflectivityMetalnessMap	ASSIGN:0xCEF8ED
Metalness Map	ASSIGN:0x12613B
SRReflectionGGX	ASSIGN:0xCEF36D
SRTextureUv	ASSIGN:0xCF007D
Texture Tiling	ASSIGN:0x40A33C,CTOR:0x40A3EC
Tile U	ASSIGN:0x40A33C,CTOR:0x40A3EC
Tile V	ASSIGN:0x40A33C,CTOR:0x40A3EC
Aniso	ASSIGN:0x126DC9
Filter	ASSIGN:0x4C9346,CTOR:0x4C93DE
SRMerge	ASSIGN:0xCF028D
name	ASSIGN:0xCED5A3
REFLECTION	ASSIGN:0x4CA6F4
DIFFUSION	ASSIGN:0xCD433F
DiffusionWantsPrepassAlbedoOutput	ASSIGN:0xCD4BAA
SurfaceShadingSpaceNonWorld	ASSIGN:0xCCD8DF
SurfaceFlipBackfacingNormals	ASSIGN:0xCCD871
GET	ASSIGN:0x10A367E
